"Anyo","Media","Mediana","Desv_Tipica","Maximo","Minimo"
2002,71.0923333333333,71.2345,0.93689063428239,72.409,69.53
2003,73.25275,73.3135,0.679951886666857,74.294,72.111
2004,75.4790833333333,75.7225,1.03684762256768,76.767,73.773
2005,78.0218333333333,78.1245,1.15700214766308,79.557,76.046
2006,80.76475,81.007,0.839886910677427,81.678,79.234
2007,83.0155,83.01,1.26136480917226,85.125,81.129
2008,86.3986666666667,86.8255,0.954352453792941,87.486,84.598
2009,86.15,86.204,0.613279411331927,87.053,85.281
2010,87.7005833333333,87.748,1.08551700780892,89.631,86.001
2011,90.5035833333333,90.636,0.89322932597843,91.762,88.975
2012,92.7174166666667,92.671,1.29844476609753,94.445,90.753
2013,94.0234166666667,94.0865,0.447463854981775,94.632,93.188
2014,93.8813333333333,93.7525,0.419350218863191,94.421,93.333
2015,93.4115833333333,93.596,0.709278565398202,94.474,92.141
2016,93.2223333333333,93.163,1.07647440820261,95.132,91.552
2017,95.0458333333333,94.966,0.668679952434555,96.19,94.249
2018,96.6378333333333,96.86,0.945163077158772,97.875,95.153
2019,97.3138333333333,97.3785,0.703199161408818,98.167,96.085
2020,96.99975,96.984,0.347821826122618,97.574,96.511
2021,100.000083333333,99.6575,2.13165132140803,103.965,97.008
2022,108.390666666667,109.616,2.29542439464147,110.267,103.567
2023,112.219416666667,112.449,1.24973876967318,113.676,109.668
2024,115.332583333333,115.6835,0.947684590638328,116.534,113.404
2025,118.276727272727,118.485,0.909955723198561,119.532,116.733
